,source,destination
0,orders,orders-db
1,queue-master,rabbitmq
2,shipping,rabbitmq
3,front-end,session-db
4,user,user-db
5,carts,carts-db
6,catalogue,catalogue-db
7,orders,shipping
8,orders,user
9,orders,carts
10,front-end,catalogue
11,front-end,user
12,front-end,carts
13,front-end,orders
14,orders,payment
15,queue-master,10.161.2.161:10250
16,rabbitmq-exporter,10.161.2.161:10250
17,carts,10.161.2.161:10250
18,catalogue,10.161.2.161:10250
19,istio-proxy,10.161.2.129:10250
20,istio-proxy,10.161.2.161:10250
21,orders,10.161.2.161:10250
22,orders-db,10.161.2.129:10250
23,payment,10.161.2.161:10250
24,rabbitmq,10.161.2.161:10250
25,user,10.161.2.161:10250
26,carts-db,10.161.2.129:10250
27,catalogue-db,10.161.2.129:10250
28,front-end,10.161.2.161:10250
29,session-db,10.161.2.129:10250
30,shipping,10.161.2.129:10250
31,user-db,10.161.2.129:10250
