,source,destination
0,catalogue,catalogue-db
1,front-end,session-db
2,shipping,rabbitmq
3,user,user-db
4,carts,carts-db
5,orders,orders-db
6,queue-master,rabbitmq
7,front-end,carts
8,front-end,catalogue
9,orders,payment
10,orders,carts
11,catalogue,iot-handler
12,iot-handler,temperature-sensor
13,front-end,user
14,orders,user
15,front-end,orders
16,orders,shipping
17,iot-handler-evil,temperature-sensor
18,istio-proxy,10.161.2.129:10250
19,rabbitmq-exporter,10.161.2.161:10250
20,shipping,10.161.2.161:10250
21,temperature-sensor,10.161.2.161:10250
22,user,10.161.2.161:10250
23,front-end,10.161.2.161:10250
24,istio-proxy,10.161.2.161:10250
25,session-db,10.161.2.129:10250
26,catalogue-db,10.161.2.161:10250
27,queue-master,10.161.2.161:10250
28,iot-handler,10.161.2.129:10250
29,iot-handler-evil,10.161.2.161:10250
30,orders,10.161.2.161:10250
31,payment,10.161.2.161:10250
32,rabbitmq,10.161.2.161:10250
33,user-db,10.161.2.161:10250
34,carts,10.161.2.161:10250
35,catalogue,10.161.2.161:10250
36,carts-db,10.161.2.161:10250
37,orders-db,10.161.2.161:10250
