,source,destination
0,front-end,session-db
1,catalogue,catalogue-db
2,orders,orders-db
3,shipping,rabbitmq
4,carts,carts-db
5,queue-master,rabbitmq
6,user,user-db
7,front-end,carts
8,orders,shipping
9,orders,carts
10,front-end,orders
11,iot-handler,temperature-sensor
12,iot-handler-evil,temperature-sensor
13,front-end,user
14,front-end,catalogue
15,catalogue,iot-handler
16,orders,payment
17,orders,user
18,shipping,10.161.2.161:10250
19,catalogue-db,10.161.2.161:10250
20,front-end,10.161.2.161:10250
21,iot-handler-evil,10.161.2.129:10250
22,istio-proxy,10.161.2.161:10250
23,istio-proxy,10.161.2.129:10250
24,rabbitmq-exporter,10.161.2.161:10250
25,carts,10.161.2.161:10250
26,carts-db,10.161.2.161:10250
27,catalogue,10.161.2.161:10250
28,iot-handler,10.161.2.161:10250
29,temperature-sensor,10.161.2.161:10250
30,payment,10.161.2.161:10250
31,queue-master,10.161.2.161:10250
32,rabbitmq,10.161.2.161:10250
33,user,10.161.2.161:10250
34,user-db,10.161.2.161:10250
35,orders,10.161.2.161:10250
36,orders-db,10.161.2.161:10250
37,session-db,10.161.2.161:10250
