,source,destination
0,user,user-db
1,carts,carts-db
2,orders,orders-db
3,queue-master,rabbitmq
4,shipping,rabbitmq
5,front-end,session-db
6,catalogue,catalogue-db
7,orders,payment
8,orders,shipping
9,orders,carts
10,front-end,catalogue
11,front-end,orders
12,front-end,user
13,catalogue,iot-handler
14,orders,user
15,iot-handler-evil,temperature-sensor
16,front-end,carts
17,iot-handler,temperature-sensor
18,carts-db,10.161.2.161:10250
19,front-end,10.161.2.161:10250
20,orders,10.161.2.161:10250
21,payment,10.161.2.161:10250
22,rabbitmq-exporter,10.161.2.161:10250
23,temperature-sensor,10.161.2.161:10250
24,orders-db,10.161.2.161:10250
25,shipping,10.161.2.161:10250
26,carts,10.161.2.161:10250
27,catalogue,10.161.2.161:10250
28,catalogue-db,10.161.2.161:10250
29,iot-handler,10.161.2.129:10250
30,iot-handler-evil,10.161.2.161:10250
31,istio-proxy,10.161.2.129:10250
32,user,10.161.2.161:10250
33,istio-proxy,10.161.2.161:10250
34,queue-master,10.161.2.161:10250
35,rabbitmq,10.161.2.161:10250
36,session-db,10.161.2.129:10250
37,user-db,10.161.2.161:10250
